Tue Oct 20 14:32:52 2020,20,70,20364.19886684572,66.08741782284277,nan
Tue Oct 20 14:33:52 2020,20,73,22469.00155829976,65.82455430991072,nan
Tue Oct 20 14:34:52 2020,nan,nan,21734.117718346857,65.82455430991072,nan
Tue Oct 20 14:35:52 2020,20,69,19725.280127319416,66.6131448487068,nan
Tue Oct 20 14:36:52 2020,20,69,18530.831522566918,65.82455430991072,nan
Tue Oct 20 14:37:52 2020,20,69,19114.695815462434,65.82455430991072,nan
Tue Oct 20 14:38:52 2020,20,68,15963.14889906483,65.56169079697871,nan
Tue Oct 20 14:39:52 2020,20,68,13150.067460480057,65.56169079697871,nan
Tue Oct 20 14:40:53 2020,21,69,12159.102044567097,65.82455430991072,nan
Tue Oct 20 14:41:53 2020,21,69,10996.542333159472,66.08741782284277,nan
Tue Oct 20 14:42:53 2020,21,69,9531.313148407306,66.08741782284277,nan
Tue Oct 20 14:43:53 2020,nan,nan,6763.722973568685,66.6131448487068,nan
Tue Oct 20 14:44:53 2020,20,68,6254.02098384384,65.82455430991072,nan
Tue Oct 20 14:45:53 2020,20,68,7041.118317429101,66.08741782284277,nan
Tue Oct 20 14:46:53 2020,nan,nan,6501.721848898536,66.08741782284277,nan
Tue Oct 20 14:47:54 2020,20,69,5291.419260531389,66.35028133577477,nan
Tue Oct 20 14:48:54 2020,20,69,5291.419260531389,66.08741782284277,nan
Tue Oct 20 14:49:54 2020,20,69,5485.990742001004,66.08741782284277,nan
Tue Oct 20 14:50:54 2020,20,69,5690.978071270389,66.87600836163881,nan
Tue Oct 20 14:51:54 2020,20,69,4846.2369975682805,66.6131448487068,nan
Tue Oct 20 14:52:54 2020,20,69,4527.749326348736,66.08741782284277,nan
Tue Oct 20 14:53:54 2020,20,69,3851.82006762788,66.6131448487068,nan
Tue Oct 20 14:54:55 2020,20,69,3677.2612074005006,66.35028133577477,nan
Tue Oct 20 14:55:55 2020,20,69,3912.646944274782,66.08741782284277,nan
Tue Oct 20 14:56:55 2020,20,69,4238.417269240741,65.82455430991072,nan
Tue Oct 20 14:57:55 2020,20,69,5197.825223413534,66.08741782284277,nan
Tue Oct 20 14:58:55 2020,20,69,6900.4240309401475,66.35028133577477,nan
Tue Oct 20 14:59:55 2020,nan,nan,7810.11593795357,65.82455430991072,nan
Tue Oct 20 15:00:55 2020,20,69,8514.963378173872,66.35028133577477,nan
Tue Oct 20 15:01:56 2020,20,69,8330.462461402432,66.35028133577477,nan
Tue Oct 20 15:02:56 2020,20,69,7488.729791695255,65.82455430991072,nan
Tue Oct 20 15:03:56 2020,nan,nan,6019.620635745764,66.08741782284277,nan
Tue Oct 20 15:04:56 2020,20,69,5106.584964149187,66.08741782284277,nan
Tue Oct 20 15:05:56 2020,20,69,4763.676628730559,66.08741782284277,nan
Tue Oct 20 15:06:56 2020,20,69,5387.44675657955,66.08741782284277,nan
Tue Oct 20 15:07:56 2020,20,70,5485.990742001004,66.6131448487068,nan
Tue Oct 20 15:08:57 2020,20,70,5387.44675657955,66.08741782284277,nan
Tue Oct 20 15:09:57 2020,20,69,4846.2369975682805,66.35028133577477,nan
Tue Oct 20 15:10:57 2020,nan,nan,6019.620635745764,66.08741782284277,nan
Tue Oct 20 15:11:57 2020,20,69,6900.4240309401475,66.6131448487068,nan
Tue Oct 20 15:12:57 2020,20,68,7185.959061000768,66.35028133577477,nan
Tue Oct 20 15:13:57 2020,nan,nan,7335.106798113347,66.35028133577477,nan
Tue Oct 20 15:14:57 2020,20,68,7335.106798113347,66.08741782284277,nan
Tue Oct 20 15:15:58 2020,20,68,6376.148459163992,66.35028133577477,nan
Tue Oct 20 15:16:58 2020,20,68,6019.620635745764,66.08741782284277,nan
Tue Oct 20 15:17:58 2020,20,68,5690.978071270389,65.82455430991072,nan
Tue Oct 20 15:18:58 2020,20,68,5197.825223413534,66.35028133577477,nan
Tue Oct 20 15:19:58 2020,20,68,4930.862854390391,66.08741782284277,nan
Tue Oct 20 15:20:58 2020,20,68,4930.862854390391,66.08741782284277,nan
Tue Oct 20 15:21:58 2020,20,68,4846.2369975682805,65.82455430991072,nan
Tue Oct 20 15:22:59 2020,20,68,4379.662202732776,66.35028133577477,nan
Tue Oct 20 15:23:59 2020,20,68,4103.608585443959,66.6131448487068,nan
Tue Oct 20 15:24:59 2020,20,68,3621.5915900306695,66.6131448487068,nan
Tue Oct 20 15:25:59 2020,20,68,2995.933118554609,66.35028133577477,nan
Tue Oct 20 15:26:59 2020,20,68,3513.817660889308,66.6131448487068,nan
Tue Oct 20 15:27:59 2020,20,68,3912.646944274782,66.35028133577477,nan
Tue Oct 20 15:28:59 2020,20,68,4604.494237416457,66.6131448487068,nan
Tue Oct 20 15:30:00 2020,20,69,5197.825223413534,66.6131448487068,nan
Tue Oct 20 15:31:00 2020,20,68,5485.990742001004,66.35028133577477,nan
Tue Oct 20 15:32:00 2020,20,68,5485.990742001004,66.6131448487068,nan
Tue Oct 20 15:33:00 2020,nan,nan,4846.2369975682805,66.35028133577477,nan
Tue Oct 20 15:34:00 2020,20,68,4170.2325939315815,66.35028133577477,nan
Tue Oct 20 15:35:00 2020,20,69,3792.3389331555218,66.6131448487068,nan
Tue Oct 20 15:36:00 2020,nan,nan,4103.608585443959,67.13887187457084,nan
Tue Oct 20 15:37:01 2020,20,69,4930.862854390391,66.6131448487068,nan
Tue Oct 20 15:38:01 2020,20,69,4930.862854390391,66.08741782284277,nan
Tue Oct 20 15:39:01 2020,20,69,3792.3389331555218,66.35028133577477,nan
